holding_id,InputRoster_masika__id,s11q01b,s11q01b_unit
00-00-02-59,Urea,650,Kilogram
00-00-02-59,Diammonium phosphate (DAP),225,Kilogram
00-00-02-59,Ammonium sulphate (SA),225,Kilogram
00-00-02-59,Herbicides (liquid),5,Liter
00-00-82-15,Urea,10,Kilogram
00-00-91-90,Insecticides,1,Liter
00-00-97-34,Insecticides,200,Milliliter
00-01-65-16,Diammonium phosphate (DAP),50,Kilogram
00-01-65-16,Insecticides,2,Liter
00-01-76-00,Diammonium phosphate (DAP),,Kilogram
00-01-76-00,Calcium ammonium nitrate (CAN),,Kilogram
00-01-76-00,Insecticides,,Liter
00-01-78-16,Urea,250,Kilogram
00-01-78-16,Diammonium phosphate (DAP),250,Kilogram
00-01-78-16,Insecticides,1,Liter
00-01-88-91,Insecticides,1,Liter
00-01-88-91,Fungicides,1,Liter
00-01-98-69,"Nitrogen, phosphorus, potassium (NPK)",25,Kilogram
00-01-98-69,Insecticides,50,Milliliter
00-02-29-95,Insecticides,1,Liter
00-02-93-97,Urea,150,Kilogram
00-02-93-97,Calcium ammonium nitrate (CAN),150,Kilogram
00-03-00-74,Urea,100,Kilogram
00-03-00-74,Diammonium phosphate (DAP),50,Kilogram
00-03-00-74,Insecticides,0,Liter
00-03-19-70,Insecticides,1,Liter
00-03-42-08,Urea,50,Kilogram
00-03-42-08,Ammonium sulphate (SA),12,Kilogram
00-03-45-75,Urea,4933,Kilogram
00-03-45-75,Diammonium phosphate (DAP),3667,Kilogram
00-03-45-75,Calcium ammonium nitrate (CAN),3433,Kilogram
00-03-45-75,Insecticides,18,Liter
00-03-45-75,Fungicides,30,Kilogram
00-03-68-44,Urea,50,Kilogram
00-03-68-44,Calcium ammonium nitrate (CAN),50,Kilogram
00-03-68-44,Insecticides,100,Milliliter
00-03-80-49,Insecticides,2,Liter
00-03-82-26,Urea,100,Kilogram
00-03-82-26,Diammonium phosphate (DAP),150,Kilogram
00-03-82-26,Calcium ammonium nitrate (CAN),50,Kilogram
00-03-82-26,Insecticides,3,Milliliter
00-04-59-21,Insecticides,1500,Milliliter
00-04-59-21,Herbicides (liquid),1667,Milliliter
00-04-69-23,Insecticides,2,Liter
00-04-72-61,Insecticides,21,Liter
00-04-72-61,Herbicides (liquid),8,Liter
00-04-72-61,Fungicides,4,Liter
00-04-78-29,Insecticides,100,Milliliter
00-05-00-99,Insecticides,1,Liter
00-05-00-99,Fungicides,5,Kilogram
00-05-09-44,Insecticides,4,Liter
00-05-44-46,Urea,2,Kilogram
00-05-44-46,Calcium ammonium nitrate (CAN),1,Kilogram
00-06-25-54,Insecticides,2,Liter
00-06-70-24,Urea,50,Kilogram
00-06-89-76,Urea,50,Kilogram
00-06-89-76,Insecticides,4,Liter
00-07-11-84,Urea,150,Kilogram
00-07-11-84,Calcium ammonium nitrate (CAN),100,Kilogram
00-07-11-84,Ammonium sulphate (SA),150,Kilogram
00-07-32-40,Urea,10,Kilogram
00-07-32-40,Insecticides,300,Milliliter
00-07-32-40,Fungicides,2,Liter
00-08-11-92,Urea,100,Kilogram
00-08-11-92,Insecticides,2,Liter
00-08-35-03,Urea,25,Kilogram
00-08-35-03,Diammonium phosphate (DAP),50,Kilogram
00-08-37-67,Urea,100,Kilogram
00-08-37-67,Calcium ammonium nitrate (CAN),100,Kilogram
00-08-46-88,Urea,250,Kilogram
00-08-46-88,Calcium ammonium nitrate (CAN),300,Kilogram
00-08-46-88,Ammonium sulphate (SA),250,Kilogram
00-09-40-71,Urea,100,Kilogram
00-09-40-71,Diammonium phosphate (DAP),100,Kilogram
00-09-40-71,Insecticides,30,Milliliter
00-09-40-71,Herbicides (liquid),6,Liter
00-09-44-34,Insecticides,2,Liter
00-09-44-34,Fungicides,20,Kilogram
00-09-52-56,Diammonium phosphate (DAP),50,Kilogram
00-09-52-56,Insecticides,1,Liter
00-09-52-56,Herbicides (liquid),1,Liter
00-09-52-56,Triple Super Phosphate (TSP),50,Kilogram
00-09-84-29,Diammonium phosphate (DAP),100,Kilogram
00-09-84-29,Insecticides,1,Liter
00-11-19-78,Urea,100,Kilogram
00-11-67-19,Urea,50,Kilogram
00-11-67-19,Diammonium phosphate (DAP),50,Kilogram
00-11-67-19,Calcium ammonium nitrate (CAN),50,Kilogram
00-13-67-00,Urea,150,Kilogram
00-13-99-00,Urea,50,Kilogram
00-13-99-00,Diammonium phosphate (DAP),50,Kilogram
00-13-99-00,Calcium ammonium nitrate (CAN),50,Kilogram
00-13-99-00,Ammonium sulphate (SA),50,Kilogram
00-13-99-00,Insecticides,300,Milliliter
00-14-26-86,Urea,150,Kilogram
00-14-26-86,Calcium ammonium nitrate (CAN),150,Kilogram
00-14-26-86,Herbicides (liquid),8,Liter
00-14-32-82,Urea,50,Kilogram
00-14-32-82,Diammonium phosphate (DAP),50,Kilogram
00-14-32-82,Herbicides (liquid),1,Liter
00-14-60-93,Insecticides,2,Liter
00-14-60-93,Fungicides,50,Kilogram
00-14-64-12,Urea,200,Kilogram
00-14-64-12,Diammonium phosphate (DAP),700,Kilogram
00-14-64-12,Calcium ammonium nitrate (CAN),500,Kilogram
00-14-71-49,Urea,50,Kilogram
00-14-71-49,Calcium ammonium nitrate (CAN),50,Kilogram
00-14-77-27,Urea,1600,Kilogram
00-14-77-27,Diammonium phosphate (DAP),1200,Kilogram
00-14-77-27,Calcium ammonium nitrate (CAN),300,Kilogram
00-14-77-27,Insecticides,2,Liter
00-14-81-09,Urea,25,Kilogram
00-14-81-09,Diammonium phosphate (DAP),37,Kilogram
00-14-81-09,"Nitrogen, phosphorus, potassium (NPK)",25,Kilogram
00-15-07-77,Insecticides,2,Liter
00-15-07-77,Herbicides (liquid),6,Liter
00-15-19-93,Insecticides,150,Milliliter
00-16-10-68,Insecticides,2,Liter
00-16-10-68,Fungicides,1,Kilogram
00-16-10-68,AMIDAS,9,Kilogram
00-16-15-75,Diammonium phosphate (DAP),100,Kilogram
00-16-15-75,Insecticides,200,Milliliter
00-16-31-75,Diammonium phosphate (DAP),5,Kilogram
00-16-31-75,Calcium ammonium nitrate (CAN),3,Kilogram
00-16-31-75,"Nitrogen, phosphorus, potassium (NPK)",3,Kilogram
00-16-31-75,Insecticides,65,Gram
00-16-31-75,Fungicides,50,Gram
00-16-33-74,Diammonium phosphate (DAP),40,Kilogram
00-16-33-74,Calcium ammonium nitrate (CAN),10,Kilogram
00-16-33-74,Insecticides,250,Milliliter
00-16-33-74,Fungicides,2,Kilogram
00-16-47-99,Insecticides,1,Liter
00-16-51-30,Insecticides,3,Liter
00-16-72-45,Urea,350,Kilogram
00-16-72-45,Insecticides,400,Milliliter
00-17-21-50,Urea,50,Kilogram
00-17-21-50,Diammonium phosphate (DAP),50,Kilogram
00-17-21-50,Insecticides,2,Liter
00-17-21-50,Fungicides,1,Liter
00-17-33-50,Herbicides (solid),1000,Gram
00-17-36-62,Urea,1,Kilogram
00-17-36-62,Diammonium phosphate (DAP),1,Kilogram
00-17-40-49,Urea,20,Kilogram
00-17-40-49,Diammonium phosphate (DAP),20,Kilogram
00-17-40-49,Calcium ammonium nitrate (CAN),20,Kilogram
00-17-40-49,Insecticides,1,Liter
00-17-94-66,Urea,125,Kilogram
00-17-94-66,Diammonium phosphate (DAP),75,Kilogram
00-18-46-49,Insecticides,1,Liter
00-18-83-43,Diammonium phosphate (DAP),100,Kilogram
00-18-83-43,Insecticides,1,Liter
00-19-26-13,Urea,14,Kilogram
00-19-26-13,Calcium ammonium nitrate (CAN),12,Kilogram
00-19-26-13,Insecticides,1000,Milliliter
00-19-26-13,Fungicides,2,Liter
00-19-35-67,Urea,50,Kilogram
00-19-35-67,Calcium ammonium nitrate (CAN),50,Kilogram
00-19-35-67,Herbicides (liquid),3,Liter
00-19-39-75,Herbicides (solid),50,Kilogram
00-20-95-00,Insecticides,2,Liter
00-21-66-74,Insecticides,3,Liter
00-21-95-31,Insecticides,2,Liter
00-22-02-16,Urea,100,Kilogram
00-22-02-16,Diammonium phosphate (DAP),100,Kilogram
00-22-02-16,Herbicides (liquid),1,Liter
00-22-02-16,Fungicides,1,Kilogram
00-22-62-30,Insecticides,500,Milliliter
00-22-63-88,Insecticides,4,Liter
00-22-63-88,Herbicides (liquid),24,Liter
00-22-63-88,Fungicides,75,Kilogram
00-22-95-12,Urea,150,Kilogram
00-22-95-12,Diammonium phosphate (DAP),100,Kilogram
00-22-95-12,Calcium ammonium nitrate (CAN),100,Kilogram
00-22-95-12,Herbicides (liquid),200,Milliliter
00-23-15-45,Urea,4,Kilogram
00-23-15-45,Herbicides (solid),2,Kilogram
00-24-10-09,Urea,50,Kilogram
00-24-10-09,Diammonium phosphate (DAP),30,Kilogram
00-24-10-09,Ammonium sulphate (SA),20,Kilogram
00-24-10-09,Insecticides,1,Liter
00-24-34-20,Urea,50,Kilogram
00-24-34-20,Insecticides,1,Liter
00-24-56-56,Insecticides,1,Liter
00-24-68-58,Urea,39,Kilogram
00-24-68-58,Calcium ammonium nitrate (CAN),50,Kilogram
00-24-68-58,Insecticides,5,Liter
00-25-53-05,Insecticides,3,Liter
00-25-59-51,Urea,50,Kilogram
00-25-59-51,Calcium ammonium nitrate (CAN),50,Kilogram
00-25-59-51,Insecticides,160,Milliliter
00-26-05-81,Diammonium phosphate (DAP),100,Kilogram
00-26-36-40,Insecticides,500,Milliliter
00-26-86-91,Urea,200,Kilogram
00-26-86-91,Diammonium phosphate (DAP),125,Kilogram
00-26-86-91,Ammonium sulphate (SA),100,Kilogram
00-26-86-91,Herbicides (liquid),2,Liter
00-27-59-16,Urea,15,Kilogram
00-27-59-16,Diammonium phosphate (DAP),15,Kilogram
00-27-59-16,Calcium ammonium nitrate (CAN),15,Kilogram
00-27-59-16,Insecticides,4,Liter
00-27-59-16,Fungicides,4,Liter
00-28-59-39,Herbicides (solid),1,Liter
00-28-66-32,Urea,100,Kilogram
00-28-66-32,Calcium ammonium nitrate (CAN),150,Kilogram
00-28-66-32,Ammonium sulphate (SA),150,Kilogram
00-28-66-32,Herbicides (liquid),3,Liter
00-28-80-31,Urea,300,Kilogram
00-28-80-31,Diammonium phosphate (DAP),200,Kilogram
00-28-80-31,Calcium ammonium nitrate (CAN),100,Kilogram
00-28-80-31,Insecticides,1,Liter
00-28-80-31,Fungicides,4,Kilogram
00-28-82-84,Insecticides,500,Milliliter
00-29-22-22,Insecticides,3,Liter
00-29-22-22,Herbicides (liquid),12,Liter
00-29-86-15,Insecticides,2,Liter
00-30-27-80,Insecticides,0,Liter
00-30-86-72,Insecticides,1,Liter
00-30-86-72,Fungicides,1,Liter
00-31-26-41,Diammonium phosphate (DAP),75,Kilogram
00-31-26-41,Insecticides,2,Liter
00-31-48-93,Urea,,Kilogram
00-31-48-93,Herbicides (liquid),,Liter
00-31-79-08,Urea,8,Kilogram
00-31-79-08,Insecticides,1,Liter
00-31-81-38,Insecticides,2,Liter
00-32-86-31,Urea,300,Kilogram
00-32-86-31,Calcium ammonium nitrate (CAN),150,Kilogram
00-32-86-31,Ammonium sulphate (SA),150,Kilogram
00-32-86-31,Herbicides (liquid),1,Liter
00-33-00-19,Diammonium phosphate (DAP),50,Kilogram
00-33-00-19,Ammonium sulphate (SA),50,Kilogram
00-33-00-19,Insecticides,200,Milliliter
00-33-30-02,Insecticides,400,Gram
00-33-30-02,Herbicides (liquid),15,Liter
00-33-38-75,Urea,50,Kilogram
00-33-38-75,Insecticides,2,Liter
00-33-54-34,Urea,50,Kilogram
00-33-54-34,Calcium ammonium nitrate (CAN),50,Kilogram
00-33-54-34,"Nitrogen, phosphorus, potassium (NPK)",100,Kilogram
00-33-54-34,Insecticides,180,Gram
00-33-84-00,Insecticides,1,Liter
00-34-23-62,Urea,50,Kilogram
00-34-23-62,Diammonium phosphate (DAP),25,Kilogram
00-34-23-62,Insecticides,250,Milliliter
00-34-23-62,Fungicides,3,Kilogram
00-34-49-85,Urea,10,Kilogram
00-34-49-85,Calcium ammonium nitrate (CAN),10,Kilogram
00-34-49-85,Insecticides,65,Milliliter
00-34-77-41,Insecticides,1,Liter
00-34-95-99,Insecticides,1,Liter
00-35-34-55,Urea,150,Kilogram
00-35-34-55,Diammonium phosphate (DAP),100,Kilogram
00-35-34-55,Calcium ammonium nitrate (CAN),150,Kilogram
00-35-34-55,Insecticides,1,Liter
00-35-34-55,Fungicides,1,Liter
00-35-52-12,Urea,50,Kilogram
00-36-29-19,Insecticides,1,Liter
00-36-34-75,Urea,50,Kilogram
00-36-34-75,Diammonium phosphate (DAP),50,Kilogram
00-36-34-75,Calcium ammonium nitrate (CAN),50,Kilogram
00-36-34-75,Insecticides,1,Liter
00-36-55-81,Diammonium phosphate (DAP),400,Kilogram
00-36-55-81,Calcium ammonium nitrate (CAN),300,Kilogram
00-36-55-81,Insecticides,4,Liter
00-36-55-81,Fungicides,20,Kilogram
00-36-71-86,Insecticides,600,Milliliter
00-36-71-86,MACROP,100,Kilogram
00-37-62-09,Urea,50,Kilogram
00-37-62-09,Diammonium phosphate (DAP),20,Kilogram
00-37-63-40,Insecticides,2,Liter
00-37-80-72,Insecticides,1,Liter
00-37-80-72,Herbicides (solid),300,Kilogram
00-38-17-19,Herbicides (liquid),15,Liter
00-38-24-67,Diammonium phosphate (DAP),50,Kilogram
00-38-24-67,Insecticides,1,Kilogram
00-38-65-85,Insecticides,3,Liter
00-38-65-85,Herbicides (liquid),2,Liter
00-38-88-74,Urea,100,Kilogram
00-38-88-74,Diammonium phosphate (DAP),100,Kilogram
00-38-88-74,Insecticides,1,Liter
00-38-99-68,Urea,50,Kilogram
00-38-99-68,Diammonium phosphate (DAP),50,Kilogram
00-39-08-46,Urea,150,Kilogram
00-39-08-46,Diammonium phosphate (DAP),150,Kilogram
00-39-08-46,Calcium ammonium nitrate (CAN),150,Kilogram
00-39-08-46,Insecticides,6,Liter
00-39-08-46,Herbicides (liquid),6,Liter
00-39-08-46,Fungicides,3,Liter
00-39-22-77,Herbicides (liquid),2,Liter
00-40-20-27,Insecticides,5,Liter
00-40-20-27,Herbicides (liquid),36,Liter
00-40-26-35,Urea,200,Kilogram
00-40-26-35,Diammonium phosphate (DAP),200,Kilogram
00-40-58-80,Insecticides,1,Liter
00-40-70-71,Insecticides,,Milliliter
00-40-94-89,Insecticides,60,Milliliter
00-41-32-57,Urea,250,Kilogram
00-41-32-57,Diammonium phosphate (DAP),200,Kilogram
00-41-32-57,Ammonium sulphate (SA),100,Kilogram
00-41-32-57,Insecticides,3,Liter
00-41-32-57,Herbicides (liquid),5,Liter
00-41-58-03,Urea,350,Kilogram
00-41-58-03,Diammonium phosphate (DAP),350,Kilogram
00-41-58-03,Calcium ammonium nitrate (CAN),100,Kilogram
00-41-58-03,Ammonium sulphate (SA),25,Kilogram
00-41-58-03,Herbicides (liquid),6,Liter
00-41-60-91,Urea,200,Kilogram
00-41-60-91,Diammonium phosphate (DAP),100,Kilogram
00-41-60-91,Insecticides,2,Liter
00-41-61-15,Urea,100,Kilogram
00-41-61-15,Diammonium phosphate (DAP),100,Kilogram
00-41-61-15,Calcium ammonium nitrate (CAN),2,Kilogram
00-41-61-15,Insecticides,1,Liter
00-41-62-61,Insecticides,1,Liter
00-42-05-97,Insecticides,500,Milliliter
00-42-39-78,Urea,200,Kilogram
00-42-39-78,Diammonium phosphate (DAP),200,Kilogram
00-42-39-78,Herbicides (solid),5,Kilogram
00-42-46-02,Urea,150,Kilogram
00-42-46-02,Calcium ammonium nitrate (CAN),50,Kilogram
00-43-03-00,Urea,50,Kilogram
00-43-03-00,Calcium ammonium nitrate (CAN),50,Kilogram
00-43-69-75,Urea,400,Kilogram
00-43-69-75,Diammonium phosphate (DAP),150,Kilogram
00-43-69-75,Calcium ammonium nitrate (CAN),150,Kilogram
00-43-69-75,Ammonium sulphate (SA),100,Kilogram
00-43-69-75,Herbicides (liquid),14,Liter
00-44-01-94,Insecticides,2,Liter
00-44-01-94,Fungicides,50,Kilogram
00-44-22-60,Urea,50,Kilogram
00-44-22-60,Diammonium phosphate (DAP),50,Kilogram
00-44-22-60,Insecticides,1,Liter
00-44-35-91,Urea,100,Kilogram
00-44-35-91,"Nitrogen, phosphorus, potassium (NPK)",75,Kilogram
00-44-35-91,Insecticides,2,Liter
00-44-35-91,Herbicides (liquid),2,Liter
00-44-60-77,Urea,100,Kilogram
00-44-60-77,Diammonium phosphate (DAP),100,Kilogram
00-44-60-77,Calcium ammonium nitrate (CAN),100,Kilogram
00-44-60-77,Ammonium sulphate (SA),100,Kilogram
00-44-60-77,Insecticides,67,Milliliter
00-44-60-77,Herbicides (liquid),200,Milliliter
00-44-81-47,Insecticides,1,Liter
00-45-02-30,Urea,25,Kilogram
00-45-13-27,Insecticides,2,Liter
00-45-46-17,Insecticides,1,Liter
00-45-77-75,Insecticides,20,Liter
00-45-93-05,Urea,200,Kilogram
00-45-93-05,Diammonium phosphate (DAP),200,Kilogram
00-45-93-05,Insecticides,1,Liter
00-46-30-29,Urea,50,Kilogram
00-46-30-29,Calcium ammonium nitrate (CAN),50,Kilogram
00-46-30-29,Ammonium sulphate (SA),50,Kilogram
00-46-30-81,Diammonium phosphate (DAP),20,Kilogram
00-46-30-81,Insecticides,500,Milliliter
00-47-64-24,Urea,50,Kilogram
00-47-64-24,Diammonium phosphate (DAP),50,Kilogram
00-47-64-24,Herbicides (liquid),1,Liter
00-47-71-24,Insecticides,1,Liter
00-47-71-24,Fungicides,250,Milliliter
00-48-30-66,Calcium ammonium nitrate (CAN),400,Kilogram
00-48-30-66,"Nitrogen, phosphorus, potassium (NPK)",400,Kilogram
00-48-30-66,Insecticides,3,Liter
00-48-60-21,"Nitrogen, phosphorus, potassium (NPK)",25,Kilogram
00-48-60-64,Urea,100,Kilogram
00-48-60-64,Diammonium phosphate (DAP),100,Kilogram
00-48-60-64,Ammonium sulphate (SA),50,Kilogram
00-48-60-64,Herbicides (liquid),5,Liter
00-48-83-47,Urea,60,Kilogram
00-48-83-47,Diammonium phosphate (DAP),60,Kilogram
00-48-83-47,Calcium ammonium nitrate (CAN),60,Kilogram
00-48-83-47,Insecticides,400,Milliliter
00-49-04-40,Urea,100,Kilogram
00-49-04-40,Ammonium sulphate (SA),50,Kilogram
00-50-04-02,Urea,100,Kilogram
00-50-04-02,Diammonium phosphate (DAP),100,Kilogram
00-50-04-02,Ammonium sulphate (SA),100,Kilogram
00-50-04-02,Insecticides,1,Liter
00-50-04-02,Fungicides,3,Liter
00-50-81-80,Herbicides (liquid),700,Milliliter
00-50-95-21,Urea,100,Kilogram
00-50-95-21,Diammonium phosphate (DAP),100,Kilogram
00-50-95-21,Calcium ammonium nitrate (CAN),100,Kilogram
00-50-95-21,Ammonium sulphate (SA),150,Kilogram
00-50-95-21,Herbicides (liquid),2,Liter
00-51-58-53,Urea,100,Kilogram
00-51-58-53,Ammonium sulphate (SA),50,Kilogram
00-51-58-53,Insecticides,1,Liter
00-51-58-53,Herbicides (liquid),1,Liter
00-51-58-53,Fungicides,1,Liter
00-51-90-89,Herbicides (liquid),50,Milliliter
00-52-37-64,Ammonium sulphate (SA),12,Kilogram
00-52-37-64,Insecticides,400,Milliliter
00-53-52-84,Urea,25,Kilogram
00-53-52-84,Ammonium sulphate (SA),25,Kilogram
00-53-53-80,Urea,2,Kilogram
00-53-53-80,Diammonium phosphate (DAP),3,Kilogram
00-53-53-80,Insecticides,1,Liter
00-53-53-80,Herbicides (liquid),2,Liter
00-54-63-77,Urea,50,Kilogram
00-54-63-77,Calcium ammonium nitrate (CAN),50,Kilogram
00-54-75-04,Urea,100,Kilogram
00-54-75-04,Diammonium phosphate (DAP),100,Kilogram
00-54-75-04,Insecticides,1,Liter
00-54-83-37,Urea,10,Kilogram
00-54-83-84,Urea,200,Kilogram
00-54-83-84,Calcium ammonium nitrate (CAN),100,Kilogram
00-54-91-98,Urea,50,Kilogram
00-54-91-98,Ammonium sulphate (SA),100,Kilogram
00-54-91-98,Herbicides (liquid),1,Liter
00-55-27-96,Ammonium sulphate (SA),50,Kilogram
00-55-27-96,Herbicides (solid),2,Kilogram
00-55-27-96,Herbicides (liquid),3,Liter
00-55-84-22,Urea,20,Kilogram
00-55-84-22,Diammonium phosphate (DAP),25,Kilogram
00-55-84-22,Fungicides,1,Kilogram
00-57-26-65,Urea,50,Kilogram
00-57-26-65,Ammonium sulphate (SA),100,Kilogram
00-57-26-65,Insecticides,3,Liter
00-58-26-43,Urea,100,Kilogram
00-58-37-31,Insecticides,2,Liter
00-58-46-45,"Nitrogen, phosphorus, potassium (NPK)",300,Kilogram
00-58-46-45,Insecticides,1,Liter
00-58-83-20,Urea,50,Kilogram
00-59-29-33,Insecticides,100,Milliliter
00-59-64-96,Diammonium phosphate (DAP),50,Kilogram
00-59-67-20,Urea,100,Kilogram
00-59-67-20,Calcium ammonium nitrate (CAN),100,Kilogram
00-59-67-20,Insecticides,4,Liter
00-59-67-20,Herbicides (liquid),1,Liter
00-60-94-39,Urea,2,Kilogram
00-61-93-26,Insecticides,5,Liter
00-61-97-55,Insecticides,20,Liter
00-63-09-84,Herbicides (liquid),1,Liter
00-63-43-70,Diammonium phosphate (DAP),5,Kilogram
00-63-43-70,Insecticides,65,Gram
00-63-50-84,Insecticides,240,Milliliter
00-63-50-84,Herbicides (liquid),1,Liter
00-63-64-66,Urea,100,Kilogram
00-63-64-66,Diammonium phosphate (DAP),50,Kilogram
00-63-64-66,Ammonium sulphate (SA),28,Kilogram
00-63-64-66,Insecticides,1,Liter
00-64-49-24,"Nitrogen, phosphorus, potassium (NPK)",100,Kilogram
00-64-56-08,Urea,50,Kilogram
00-64-56-08,"Nitrogen, phosphorus, potassium (NPK)",300,Kilogram
00-64-56-08,Insecticides,150,Kilogram
00-65-30-75,Urea,50,Kilogram
00-65-30-75,Diammonium phosphate (DAP),50,Kilogram
00-65-30-75,Insecticides,2,Liter
00-65-30-75,Herbicides (liquid),2,Liter
00-65-94-52,Insecticides,1,Liter
00-66-07-41,Insecticides,0,Milliliter
00-66-22-02,Insecticides,2,Liter
00-67-22-18,Insecticides,150,Milliliter
00-67-27-12,Urea,100,Kilogram
00-67-27-12,Ammonium sulphate (SA),50,Kilogram
00-67-42-53,Urea,,Kilogram
00-67-42-53,Diammonium phosphate (DAP),,Kilogram
00-67-87-81,Urea,50,Kilogram
00-67-87-81,Diammonium phosphate (DAP),50,Kilogram
00-67-87-81,Insecticides,1,Liter
00-68-19-26,Herbicides (liquid),3,Liter
00-68-26-39,Herbicides (liquid),125,Milliliter
00-68-60-79,Urea,150,Kilogram
00-68-60-79,Calcium ammonium nitrate (CAN),150,Kilogram
00-68-65-90,Urea,50,Kilogram
00-68-65-90,Ammonium sulphate (SA),50,Kilogram
00-68-94-28,Urea,50,Kilogram
00-68-94-28,Insecticides,1,Liter
00-69-02-73,Insecticides,1,Liter
00-69-14-60,Insecticides,400,Gram
00-69-36-75,Urea,1,Kilogram
00-69-36-75,Diammonium phosphate (DAP),1,Kilogram
00-69-67-03,Urea,100,Kilogram
00-69-67-03,Diammonium phosphate (DAP),100,Kilogram
00-69-67-03,Insecticides,2,Liter
00-69-72-66,Insecticides,4,Liter
00-70-40-17,Diammonium phosphate (DAP),50,Kilogram
00-70-40-17,Calcium ammonium nitrate (CAN),50,Kilogram
00-70-40-17,Insecticides,1,Liter
00-70-40-17,Fungicides,3,Liter
00-70-87-50,Insecticides,4,Liter
00-70-87-50,Herbicides (solid),150,Kilogram
00-70-87-50,Herbicides (liquid),20,Liter
00-70-97-00,Insecticides,500,Milliliter
00-71-11-83,Urea,25,Kilogram
00-71-11-83,Insecticides,0,Liter
00-71-12-96,Urea,100,Kilogram
00-71-12-96,Insecticides,1,Liter
00-71-40-74,Diammonium phosphate (DAP),20,Kilogram
00-71-40-74,Insecticides,500,Milliliter
00-72-30-40,Insecticides,1,Liter
00-72-63-19,Urea,100,Kilogram
00-72-63-19,Diammonium phosphate (DAP),100,Kilogram
00-72-63-19,Calcium ammonium nitrate (CAN),25,Kilogram
00-72-63-19,Herbicides (liquid),4,Liter
00-73-20-89,Insecticides,5,Liter
00-73-20-89,Herbicides (liquid),4,Liter
00-73-38-37,Urea,75,Kilogram
00-73-38-37,Insecticides,2,Liter
00-75-01-52,Insecticides,1,Liter
00-75-05-77,Herbicides (liquid),1,Liter
00-75-41-60,Urea,50,Kilogram
00-75-53-84,Insecticides,1,Liter
00-75-85-91,Calcium ammonium nitrate (CAN),100,Kilogram
00-75-85-91,"Nitrogen, phosphorus, potassium (NPK)",200,Kilogram
00-75-85-91,Insecticides,100,Gram
00-76-42-21,Insecticides,50,Milliliter
00-76-61-66,Herbicides (liquid),1,Liter
00-76-61-99,Insecticides,13100,Milliliter
00-76-61-99,Fungicides,23300,Milliliter
00-76-61-99,Other (specify),,Kilogram
00-76-82-42,Urea,50,Kilogram
00-76-82-42,Diammonium phosphate (DAP),50,Kilogram
00-76-82-42,Insecticides,1,Liter
00-77-81-07,Herbicides (liquid),250,Milliliter
00-78-45-30,Urea,150,Kilogram
00-78-45-30,Calcium ammonium nitrate (CAN),100,Kilogram
00-78-45-30,"Nitrogen, phosphorus, potassium (NPK)",100,Kilogram
00-78-45-30,Insecticides,810,Milliliter
00-78-45-30,Herbicides (liquid),270,Milliliter
00-78-56-48,Urea,200,Kilogram
00-78-56-48,Insecticides,2,Liter
00-78-82-31,Urea,150,Kilogram
00-78-82-31,Insecticides,6,Liter
00-79-03-87,Urea,50,Kilogram
00-79-03-87,Diammonium phosphate (DAP),50,Kilogram
00-79-03-87,Insecticides,1,Liter
00-79-53-84,Diammonium phosphate (DAP),50,Kilogram
00-79-73-74,Urea,50,Kilogram
00-79-74-47,Urea,200,Kilogram
00-79-74-47,Diammonium phosphate (DAP),100,Kilogram
00-79-74-47,Calcium ammonium nitrate (CAN),100,Kilogram
00-79-74-47,Insecticides,2,Liter
00-79-74-47,Herbicides (liquid),4,Liter
00-79-82-70,Diammonium phosphate (DAP),50,Kilogram
00-80-09-74,Diammonium phosphate (DAP),,Kilogram
00-80-11-50,Urea,50,Kilogram
00-80-11-50,Insecticides,1,Liter
00-80-32-02,Insecticides,2,Liter
00-80-52-96,Insecticides,1,Liter
00-80-72-68,Insecticides,500,Gram
00-80-80-49,Urea,75,Kilogram
00-80-80-49,Diammonium phosphate (DAP),75,Kilogram
00-80-96-86,Insecticides,250,Milliliter
00-81-09-76,Urea,100,Kilogram
00-81-09-76,Diammonium phosphate (DAP),250,Kilogram
00-81-09-76,Calcium ammonium nitrate (CAN),2,Kilogram
00-81-09-76,NPS zinc,50,Kilogram
00-81-09-76,Insecticides,133,Milliliter
00-81-09-76,Herbicides (liquid),100,Milliliter
00-81-15-63,Urea,400,Kilogram
00-81-15-63,Insecticides,6,Liter
00-81-15-63,Herbicides (liquid),2,Liter
00-81-15-63,Fungicides,7,Liter
00-81-27-84,Urea,50,Kilogram
00-81-27-84,Insecticides,1,Liter
00-81-62-17,Herbicides (liquid),400,Milliliter
00-81-74-97,Insecticides,1,Liter
00-81-95-62,Urea,50,Kilogram
00-81-95-62,Insecticides,1,Liter
00-82-00-35,Urea,200,Kilogram
00-82-00-35,Diammonium phosphate (DAP),200,Kilogram
00-82-00-35,Insecticides,500,Milliliter
00-82-00-35,Herbicides (liquid),500,Milliliter
00-82-01-54,Urea,300,Kilogram
00-82-01-54,Diammonium phosphate (DAP),300,Kilogram
00-82-01-54,Insecticides,6,Liter
00-82-01-54,Herbicides (liquid),4,Liter
00-82-13-60,Ammonium sulphate (SA),50,Kilogram
00-82-13-60,Insecticides,75,Kilogram
00-82-13-60,Herbicides (liquid),3,Liter
00-82-34-78,Urea,400,Kilogram
00-82-34-78,Calcium ammonium nitrate (CAN),50,Kilogram
00-82-34-78,Ammonium sulphate (SA),150,Kilogram
